Database,Version,ionFormula,ion,mz,msm,rhoSpatial,rhoSpectral,moc,fdr,offSample,isotopeImages,colocCoeff,moleculeNames,moleculeIds,maxIntensity,Adduct
LipidMaps,2017-12-12,C20H33O6,C20H32O6+H+,369.227165179,0.89246714,0.9004746458042938,0.9921984808718574,0.9989004084197298,0.05,False,"[{'mz': 369.227143229206, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/842a3a973aed4de5899762158fa72a74', 'minIntensity': 0, 'maxIntensity': 24669996, 'totalIntensity': 3181228032}, {'mz': 370.23051476427287, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/1fc29d57de084aef880a90a0fe28e55b', 'minIntensity': 0, 'maxIntensity': 5628468.5, 'totalIntensity': 680591744}, {'mz': 371.23144706052096, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/6378913fe5c345b78220654b94db5b71', 'minIntensity': 0, 'maxIntensity': 113051.34375, 'totalIntensity': 743906.3125}, {'mz': 371.2338789083135, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/23d2de9224da42509f48efa2f272efee', 'minIntensity': 0, 'maxIntensity': 694435.4375, 'totalIntensity': 31575562}]",,"['D17, 6-keto PGF1a', '20-COOH-10,11-dihydro-LTB4', '11-Dehydro-thromboxane B2', 'PGG2', '6-keto PGE1', '20-hydroxy-PGD2', '15S-hydroperoxy-PGE2', '15S-hydroperoxy-PGD2', '5,12-diHPETE', '5,15-diHPETE', '8,15-diHPETE', '5S,15S-diHPETE', '8S,15S-diHPETE', 'Rhodojaponin III', '20-hydroxy-PGE2', '19R-hydroxy-PGE2', '20-dihydroxyleukotriene B4', '5(6)-Epoxy Prostaglandin E1', '11-dehydro-TXB2', 'TXB3', '11-dehydro-TXB2-d4', 'Thromboxane B3']","['LMFA03010149', 'LMFA03020059', 'LMFA03030014', 'LMFA03010009', 'LMFA03010012', 'LMFA03010216', 'LMFA03010217', 'LMFA03010220', 'LMFA03060046', 'LMFA03060047', 'LMFA03060048', 'LMFA03060097', 'LMFA03060098', 'LMPR0104180003', 'LMFA03010014', 'LMFA03010024', 'LMFA03020061', 'LMFA03020068', 'LMFA03030004', 'LMFA03030006', 'LMFA03030011', 'LMFA03030016']",24669996.0,+H
LipidMaps,2017-12-12,C20H24O7Na,C20H24O7+Na+,399.141423791,0.89190555,0.9177401954262796,0.9734442176391187,0.9983619983619983,0.05,False,"[{'mz': 399.14140222120596, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/6425c70a331a4afea408ac1711e1fb3e', 'minIntensity': 0, 'maxIntensity': 26390356, 'totalIntensity': 2426631168}, {'mz': 400.1447724523293, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/3f2f67ac0f204ce6a1625785bdec99a1', 'minIntensity': 0, 'maxIntensity': 4076702, 'totalIntensity': 359623200}, {'mz': 401.14569630693956, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/7ecd5dfded58410fb524bbcdd435880d', 'minIntensity': 0, 'maxIntensity': 350583.28125, 'totalIntensity': 6846498}, {'mz': 401.1481278965353, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/f75a2d33927847dfaa9cdccf5b6b5887', 'minIntensity': 0, 'maxIntensity': 454625.40625, 'totalIntensity': 18035022}]",,"[""(3S)-7-hydroxy-2',3',4',5',8-pentamethoxyisoflavan""]",['LMPK12080001'],26390356.0,+Na
LipidMaps,2017-12-12,C18H12O9K,C18H12O9+K+,411.011289857,0.88454634,0.9141837488751506,0.9685734005493776,0.9989748228554198,0.05,False,"[{'mz': 411.011268317206, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/9c84ac917bd442dca9eae9338b73a358', 'minIntensity': 0, 'maxIntensity': 114109248, 'totalIntensity': 63072182272}, {'mz': 412.0146446545495, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/0fce0ec84903436b82c00dae1424e268', 'minIntensity': 0, 'maxIntensity': 25421272, 'totalIntensity': 13905115136}, {'mz': 413.0094119604136, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/9be2128476b544a4bbca06435f7e6122', 'minIntensity': 0, 'maxIntensity': 19964738, 'totalIntensity': 10106245120}, {'mz': 413.0155173228311, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/d0eec69dd4f544faac31da51bd91ffc4', 'minIntensity': 0, 'maxIntensity': 766609.5625, 'totalIntensity': 377665152}]",,['Repenone'],['LMPK12060079'],114109248.0,+K
LipidMaps,2017-12-12,C18H12O9Na,C18H12O9+Na+,395.03735264700003,0.86648095,0.8719961533462118,0.9947101489405906,0.9989595085871882,0.05,False,"[{'mz': 395.037331077206, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/ff268f7793f441bcb3432d10cf4e6652', 'minIntensity': 0, 'maxIntensity': 141368448, 'totalIntensity': 78784823296}, {'mz': 396.0407018309661, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/fb5e796b92e241e0a0331a27256c8dee', 'minIntensity': 0, 'maxIntensity': 30528472, 'totalIntensity': 15665429504}, {'mz': 397.041591111465, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/dc8a531b07414544aed87ccd24af1ec9', 'minIntensity': 0, 'maxIntensity': 574709.375, 'totalIntensity': 138267904}, {'mz': 397.0440798077722, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/d2b840991ff747b897fbdf4dbe1e4f93', 'minIntensity': 0, 'maxIntensity': 3085277.5, 'totalIntensity': 1642523904}]",,['Repenone'],['LMPK12060079'],141368448.0,+Na
LipidMaps,2017-12-12,C17H12O7K,C17H12O7+K+,367.021460617,0.8656324,0.8891425830272262,0.9747528237659566,0.9987748393844315,0.5,False,"[{'mz': 367.021439077206, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/bdf0adaeea2449fa96e3d41a2478b3a7', 'minIntensity': 0, 'maxIntensity': 10768165, 'totalIntensity': 5305700352}, {'mz': 368.02481800073184, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/876c0205baf64cb1b3541e99b82064b5', 'minIntensity': 0, 'maxIntensity': 2205833.25, 'totalIntensity': 1128469760}, {'mz': 369.01955688120694, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/c01287eab7c74ea8a58cae3e21888988', 'minIntensity': 0, 'maxIntensity': 1639914, 'totalIntensity': 750778880}, {'mz': 369.02815414985656, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/505437c8e598496292c6b2f0e48a89c9', 'minIntensity': 0, 'maxIntensity': 208610.09375, 'totalIntensity': 20481288}]",,"['Dalspinin', 'Kanzakiflavone 1', '(-)-Acanthocarpan', 'Bryaquinone', ""5,3'-Dihydroxy-2'-methoxy-6,7-methylenedioxyisoflavone""]","['LMPK12050410', 'LMPK12111452', 'LMPK12070127', 'LMPK12070143', 'LMPK12050368']",10768165.0,+K
LipidMaps,2017-12-12,C18H13O9,C18H12O9+H+,373.055408399,0.8622043,0.8668061483626608,0.9958244940835853,0.9988617886178862,0.2,False,"[{'mz': 373.05538644920597, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/2ce200f9b16e4a27b575efbddb0b4134', 'minIntensity': 0, 'maxIntensity': 77754696, 'totalIntensity': 31586590720}, {'mz': 374.05875824572, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/8f91715cad6449d89e37a7ffbe66e8ef', 'minIntensity': 0, 'maxIntensity': 15793441, 'totalIntensity': 6507886592}, {'mz': 375.059664839562, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/1ac3e2a17ecf497cac1617ed4ec3976b', 'minIntensity': 0, 'maxIntensity': 499286.5, 'totalIntensity': 104658512}, {'mz': 375.0621542428426, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/7d5921d3b7824020a23431af64103c75', 'minIntensity': 0, 'maxIntensity': 1460313, 'totalIntensity': 644054272}]",,['Repenone'],['LMPK12060079'],77754696.0,+H
LipidMaps,2017-12-12,C23H39O7,C23H38O7+H+,427.269029991,0.8513593,0.8706075431963703,0.9795491163809535,0.9983072916666667,0.2,False,"[{'mz': 427.269008041206, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/694c696a407242d79c185a2e088b93cd', 'minIntensity': 0, 'maxIntensity': 11015028, 'totalIntensity': 821341056}, {'mz': 428.2723770169231, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/30210d9de8dd4a38b397ed71af07e564', 'minIntensity': 0, 'maxIntensity': 3484397.5, 'totalIntensity': 176918880}, {'mz': 429.2732704980773, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/f0d2997d26fb4f7e8076f574a504fbf8', 'minIntensity': 0, 'maxIntensity': 112910.7890625, 'totalIntensity': 223083.34375}, {'mz': 429.27575671940775, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/83e1b2fedbb440f3a8711042e806584a', 'minIntensity': 0, 'maxIntensity': 358077.15625, 'totalIntensity': 2587705.5}]",,"['1(3)-glyceryl-PGD2', '2-glyceryl-PGE2', '2-glyceryl-PGH2', '1(3)-glyceryl-PGH2', '2-glyceryl-PGD2', '1(3)-glyceryl-PGE2']","['LMFA03010184', 'LMFA03010185', 'LMFA03010189', 'LMFA03010190', 'LMFA03010183', 'LMFA03010186']",11015028.0,+H
LipidMaps,2017-12-12,C20H33O7,C20H32O7+H+,385.222079799,0.8437106,0.8496316302964176,0.9937289189207268,0.9992977298709783,0.2,False,"[{'mz': 385.222057849206, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/506a42d58981407d9b48585797e517e3', 'minIntensity': 0, 'maxIntensity': 83154720, 'totalIntensity': 5249476608}, {'mz': 386.22542871332485, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/b8878046d2c24705bba1c3b6e0a1f741', 'minIntensity': 0, 'maxIntensity': 19305120, 'totalIntensity': 1209449984}, {'mz': 387.2263189306633, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/9e0a6aa50eb84893aa853c5eb85e663b', 'minIntensity': 0, 'maxIntensity': 541675.125, 'totalIntensity': 1694649.75}, {'mz': 387.22880688949647, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/aa52e7d3fa67481b87295f8435b08d6f', 'minIntensity': 0, 'maxIntensity': 2187871.5, 'totalIntensity': 78179152}]",,['20-Trihydroxy-leukotriene-B4'],['LMFA03020066'],83154720.0,+H
LipidMaps,2017-12-12,C20H23O3,C20H22O3+H+,311.164170999,0.8428062,0.9470030179886672,0.8967215614314735,0.9924731182795699,0.2,False,"[{'mz': 311.16414904920595, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/471ee5ec47d94c7ead81c3c340f5a119', 'minIntensity': 0, 'maxIntensity': 6651486, 'totalIntensity': 79632304}, {'mz': 312.1675237652625, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/08637fc3f1434b81a766f8a7b19946b5', 'minIntensity': 0, 'maxIntensity': 3569812, 'totalIntensity': 45676540}, {'mz': 313.16844876079637, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/e0e9cfe5d6ae41d0a94fd82840a6f03a', 'minIntensity': 0, 'maxIntensity': 104772.5546875, 'totalIntensity': 205724.3125}, {'mz': 313.17087968964245, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/2b770215477742b08b82087bca397468', 'minIntensity': 0, 'maxIntensity': 608096.1875, 'totalIntensity': 6392189}]",,['Dihydrocordoin'],['LMPK12120441'],6651486.0,+H
LipidMaps,2017-12-12,C11H16O5Na,C11H16O5+Na+,251.08899429499996,0.83809537,0.8570519675811944,0.9785054975243956,0.9993624075490947,0.5,False,"[{'mz': 251.08897272520895, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/412cdba58b4247478cc5ff45f6a1c0d7', 'minIntensity': 0, 'maxIntensity': 23427708, 'totalIntensity': 631441856}, {'mz': 252.0923535197307, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/becf9d89096f4cd683e1a1f5b3fdec05', 'minIntensity': 0, 'maxIntensity': 2847555, 'totalIntensity': 34418108}, {'mz': 253.09326650493765, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/8a465ee9cb65454f8184479de20d0b69', 'minIntensity': 0, 'maxIntensity': 312830.875, 'totalIntensity': 1637103.25}, {'mz': 253.09570484601753, 'url': 'https://s3.eu-west-1.amazonaws.com/sm-image-storage-prod/iso/2022-08-05_17h28m56s/70771a74ba1a41a994133b3302dab447', 'minIntensity': 0, 'maxIntensity': 164516.703125, 'totalIntensity': 1296167}]",,['Depdecin'],['LMFA05000013'],23427708.0,+Na
